timestamp,value,sensor_id,location_id
2026-04-09 08:44:23.699+00,22,5a31c22bca88de2d3b5dd140,
2026-04-09 08:43:23.739+00,22,5a31c22bca88de2d3b5dd140,
2026-04-09 08:42:23.575+00,22,5a31c22bca88de2d3b5dd140,
2026-04-09 08:41:23.453+00,22,5a31c22bca88de2d3b5dd140,
2026-04-09 08:40:23.254+00,21.9,5a31c22bca88de2d3b5dd140,
2026-04-09 08:39:23.345+00,22,5a31c22bca88de2d3b5dd140,
2026-04-09 08:38:23.433+00,22,5a31c22bca88de2d3b5dd140,
2026-04-09 08:37:22.685+00,22,5a31c22bca88de2d3b5dd140,
2026-04-09 08:36:22.503+00,22,5a31c22bca88de2d3b5dd140,
2026-04-09 08:35:22.491+00,22,5a31c22bca88de2d3b5dd140,
2026-04-09 08:34:22.91+00,22.1,5a31c22bca88de2d3b5dd140,
2026-04-09 08:33:22.379+00,22.1,5a31c22bca88de2d3b5dd140,
2026-04-09 08:32:22.418+00,22.1,5a31c22bca88de2d3b5dd140,
2026-04-09 08:31:22.295+00,22.1,5a31c22bca88de2d3b5dd140,
2026-04-09 08:30:22.043+00,22.1,5a31c22bca88de2d3b5dd140,
2026-04-09 08:29:21.878+00,22.1,5a31c22bca88de2d3b5dd140,
2026-04-09 08:28:22.107+00,22,5a31c22bca88de2d3b5dd140,
2026-04-09 08:27:22.221+00,22.1,5a31c22bca88de2d3b5dd140,
2026-04-09 08:26:22.152+00,22.1,5a31c22bca88de2d3b5dd140,
2026-04-09 08:25:22.503+00,22,5a31c22bca88de2d3b5dd140,
2026-04-09 08:24:21.833+00,22,5a31c22bca88de2d3b5dd140,
2026-04-09 08:23:21.474+00,22,5a31c22bca88de2d3b5dd140,
2026-04-09 08:22:21.294+00,21.9,5a31c22bca88de2d3b5dd140,
2026-04-09 08:21:21.693+00,21.9,5a31c22bca88de2d3b5dd140,
2026-04-09 08:20:21.304+00,21.9,5a31c22bca88de2d3b5dd140,
2026-04-09 08:19:21.372+00,21.9,5a31c22bca88de2d3b5dd140,
2026-04-09 08:18:21.029+00,21.9,5a31c22bca88de2d3b5dd140,
2026-04-09 08:17:21.269+00,21.9,5a31c22bca88de2d3b5dd140,
2026-04-09 08:16:20.678+00,21.9,5a31c22bca88de2d3b5dd140,
2026-04-09 08:15:20.713+00,21.9,5a31c22bca88de2d3b5dd140,
2026-04-09 08:14:20.938+00,21.9,5a31c22bca88de2d3b5dd140,
2026-04-09 08:13:20.808+00,21.9,5a31c22bca88de2d3b5dd140,
2026-04-09 08:12:20.46+00,22,5a31c22bca88de2d3b5dd140,
2026-04-09 08:11:20.403+00,21.9,5a31c22bca88de2d3b5dd140,
2026-04-09 08:10:20.352+00,22,5a31c22bca88de2d3b5dd140,
2026-04-09 08:09:20.187+00,22,5a31c22bca88de2d3b5dd140,
2026-04-09 08:08:20.493+00,21.9,5a31c22bca88de2d3b5dd140,
